anomaly_id,timestamp,url,capture_url,issue_type,description,severity,resolution_status,notes
anom_0001,20170318050947,https://www.kongregate.com/most-played-games,https://web.archive.org/web/20170318050947/http://www.kongregate.com/most-played-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20170318050947_http_www.kongregate.com_most-played-games_a6dc0e491602522d.html
anom_0002,20231221025233,https://www.kongregate.com/most-played-games,https://web.archive.org/web/20231221025233/https://www.kongregate.com/most-played-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20231221025233_https_www.kongregate.com_most-played-games_089ed92dbb5157b2.html
anom_0003,20080222160305,https://www.kongregate.com/action-games,https://web.archive.org/web/20080222160305/http://www.kongregate.com:80/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20080222160305_http_www.kongregate.com_80_action-games_05981415ac02d75f.html
anom_0004,20140502095907,https://www.kongregate.com/action-games,https://web.archive.org/web/20140502095907/http://www.kongregate.com/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20140502095907_http_www.kongregate.com_action-games_36286b2233568e7e.html
anom_0005,20160820213635,https://www.kongregate.com/action-games,https://web.archive.org/web/20160820213635/http://www.kongregate.com:80/action-games?,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20160820213635_http_www.kongregate.com_80_action-games_3d6255cebfcadbf8.html
anom_0006,20190810210827,https://www.kongregate.com/action-games,https://web.archive.org/web/20190810210827/http://www.kongregate.com/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20190810210827_http_www.kongregate.com_action-games_c4d27807ce1bf866.html
anom_0007,20260329033542,https://www.kongregate.com/action-games,https://web.archive.org/web/20260329033542/https://www.kongregate.com/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260329033542_https_www.kongregate.com_action-games_978edcbe4b3183d3.html
anom_0008,20251009013727,https://www.kongregate.com/en/action-games,https://web.archive.org/web/20251009013727/https://www.kongregate.com/en/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251009013727_https_www.kongregate.com_en_action-games_70bb41a51df81e2f.html
anom_0009,20251203171039,https://www.kongregate.com/en/action-games,https://web.archive.org/web/20251203171039/https://www.kongregate.com/en/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251203171039_https_www.kongregate.com_en_action-games_5e98be6c4ed3b598.html
anom_0010,20260405192842,https://www.kongregate.com/en/action-games,https://web.archive.org/web/20260405192842/https://www.kongregate.com/en/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260405192842_https_www.kongregate.com_en_action-games_900555f32b4c05b7.html
anom_0011,20260415230709,https://www.kongregate.com/en/action-games,https://web.archive.org/web/20260415230709/https://www.kongregate.com/en/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260415230709_https_www.kongregate.com_en_action-games_c830e2100134c513.html
anom_0012,20260514223244,https://www.kongregate.com/en/action-games,https://web.archive.org/web/20260514223244/https://www.kongregate.com/en/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260514223244_https_www.kongregate.com_en_action-games_fd4e6bb81c6dc036.html
anom_0013,20080222193232,https://www.kongregate.com/puzzle-games,https://web.archive.org/web/20080222193232/http://www.kongregate.com:80/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20080222193232_http_www.kongregate.com_80_puzzle-games_fe525b1fb2c1670a.html
anom_0014,20111118074024,https://www.kongregate.com/puzzle-games,https://web.archive.org/web/20111118074024/http://www.kongregate.com:80/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20111118074024_http_www.kongregate.com_80_puzzle-games_2b3c628144fbb0d4.html
anom_0015,20150103173122,https://www.kongregate.com/puzzle-games,https://web.archive.org/web/20150103173122/http://www.kongregate.com:80/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20150103173122_http_www.kongregate.com_80_puzzle-games_39b75a16c2651474.html
anom_0016,20160905025345,https://www.kongregate.com/puzzle-games,https://web.archive.org/web/20160905025345/http://www.kongregate.com:80/puzzle-games?,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20160905025345_http_www.kongregate.com_80_puzzle-games_63bedaf1e9025eb6.html
anom_0017,20260329032508,https://www.kongregate.com/puzzle-games,https://web.archive.org/web/20260329032508/https://www.kongregate.com/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260329032508_https_www.kongregate.com_puzzle-games_94d114902c5ce6b9.html
anom_0018,20251007101001,https://www.kongregate.com/en/puzzle-games,https://web.archive.org/web/20251007101001/http://www.kongregate.com/en/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251007101001_http_www.kongregate.com_en_puzzle-games_94b157dbc2e9544f.html
anom_0019,20251122092803,https://www.kongregate.com/en/puzzle-games,https://web.archive.org/web/20251122092803/https://www.kongregate.com/en/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251122092803_https_www.kongregate.com_en_puzzle-games_2ccbffd3dd6620cd.html
anom_0020,20260408114734,https://www.kongregate.com/en/puzzle-games,https://web.archive.org/web/20260408114734/https://www.kongregate.com/en/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260408114734_https_www.kongregate.com_en_puzzle-games_2911ce035b879cde.html
anom_0021,20260415230646,https://www.kongregate.com/en/puzzle-games,https://web.archive.org/web/20260415230646/https://www.kongregate.com/en/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260415230646_https_www.kongregate.com_en_puzzle-games_632855829dc5aba2.html
anom_0022,20260626042908,https://www.kongregate.com/en/puzzle-games,https://web.archive.org/web/20260626042908/https://www.kongregate.com/en/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260626042908_https_www.kongregate.com_en_puzzle-games_90eebdf74d0d78f5.html
anom_0023,20110206141034,https://www.kongregate.com/strategy-games,https://web.archive.org/web/20110206141034/http://www.kongregate.com:80/strategy-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20110206141034_http_www.kongregate.com_80_strategy-games_3027a4227149c3b2.html
anom_0024,20160307233730,https://www.kongregate.com/strategy-games,https://web.archive.org/web/20160307233730/http://www.kongregate.com:80/strategy-games?,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20160307233730_http_www.kongregate.com_80_strategy-games_a26938e987e8ded5.html
anom_0025,20170112053145,https://www.kongregate.com/strategy-games,https://web.archive.org/web/20170112053145/http://www.kongregate.com/strategy-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20170112053145_http_www.kongregate.com_strategy-games_f41ffc2e11ecc6cd.html
anom_0026,20171025151756,https://www.kongregate.com/strategy-games,https://web.archive.org/web/20171025151756/http://www.kongregate.com:80/strategy-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20171025151756_http_www.kongregate.com_80_strategy-games_0d8cdbfbdfca7cac.html
anom_0027,20260321035334,https://www.kongregate.com/strategy-games,https://web.archive.org/web/20260321035334/https://www.kongregate.com/strategy-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260321035334_https_www.kongregate.com_strategy-games_b7ec06429ddf88c9.html
anom_0028,20251008220118,https://www.kongregate.com/en/strategy-games,https://web.archive.org/web/20251008220118/https://www.kongregate.com/en/strategy-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251008220118_https_www.kongregate.com_en_strategy-games_d1dc637d97235ccb.html
anom_0029,20251122061826,https://www.kongregate.com/en/strategy-games,https://web.archive.org/web/20251122061826/https://www.kongregate.com/en/strategy-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251122061826_https_www.kongregate.com_en_strategy-games_1b4d2faca8e3c76d.html
anom_0030,20260419210136,https://www.kongregate.com/en/strategy-games,https://web.archive.org/web/20260419210136/https://www.kongregate.com/en/strategy-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260419210136_https_www.kongregate.com_en_strategy-games_62828867c8a396e2.html
anom_0031,20260420041026,https://www.kongregate.com/en/strategy-games,https://web.archive.org/web/20260420041026/https://www.kongregate.com/en/strategy-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260420041026_https_www.kongregate.com_en_strategy-games_e14b9f603bb63896.html
anom_0032,20260622175218,https://www.kongregate.com/en/strategy-games,https://web.archive.org/web/20260622175218/https://www.kongregate.com/en/strategy-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260622175218_https_www.kongregate.com_en_strategy-games_2677cfb3cde0ae07.html
anom_0033,20080225104317,https://www.kongregate.com/shooter-games,https://web.archive.org/web/20080225104317/http://www.kongregate.com:80/shooter-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20080225104317_http_www.kongregate.com_80_shooter-games_bfb091314d2c21b0.html
anom_0034,20140926212202,https://www.kongregate.com/shooter-games,https://web.archive.org/web/20140926212202/http://www.kongregate.com/shooter-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20140926212202_http_www.kongregate.com_shooter-games_5d9c25edfd294a03.html
anom_0035,20170906213515,https://www.kongregate.com/tower-defense-games,https://web.archive.org/web/20170906213515/http://www.kongregate.com:80/tower-defense-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20170906213515_http_www.kongregate.com_80_tower-defense-games_2196703d881bce39.html
anom_0036,20200511190912,https://www.kongregate.com/tower-defense-games,https://web.archive.org/web/20200511190912/https://www.kongregate.com/tower-defense-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20200511190912_https_www.kongregate.com_tower-defense-games_7e75cda3234045c0.html
anom_0037,20260130221621,https://www.kongregate.com/tower-defense-games,https://web.archive.org/web/20260130221621/https://www.kongregate.com/tower-defense-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260130221621_https_www.kongregate.com_tower-defense-games_46b0aa195ad24919.html
anom_0038,20251012061739,https://www.kongregate.com/en/tower-defense-games,https://web.archive.org/web/20251012061739/https://www.kongregate.com/en/tower-defense-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251012061739_https_www.kongregate.com_en_tower-defense-games_c985ec41993d2af7.html
anom_0039,20251116234801,https://www.kongregate.com/en/tower-defense-games,https://web.archive.org/web/20251116234801/http://www.kongregate.com/en/tower-defense-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251116234801_http_www.kongregate.com_en_tower-defense-games_7af20f7e2c0005b7.html
anom_0040,20260207161430,https://www.kongregate.com/en/tower-defense-games,https://web.archive.org/web/20260207161430/https://www.kongregate.com/en/tower-defense-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260207161430_https_www.kongregate.com_en_tower-defense-games_f7130e06cfad1d51.html
anom_0041,20260413014005,https://www.kongregate.com/en/tower-defense-games,https://web.archive.org/web/20260413014005/https://www.kongregate.com/en/tower-defense-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260413014005_https_www.kongregate.com_en_tower-defense-games_dc1eb1bb333b6085.html
anom_0042,20260521110237,https://www.kongregate.com/en/tower-defense-games,https://web.archive.org/web/20260521110237/https://www.kongregate.com/en/tower-defense-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260521110237_https_www.kongregate.com_en_tower-defense-games_003cd1beac2cc3a3.html
